Date,ProductID,SalesRepID,Units
1/17/21,2,2,200
1/29/21,1,4,108
1/31/21,4,4,63
2/4/21,2,2,1
3/17/21,3,1,119
3/19/21,2,4,80
3/22/21,2,2,90
3/30/21,3,4,130
4/5/21,2,2,189
4/6/21,1,2,5
4/7/21,2,3,90
4/8/21,2,4,5
4/12/21,2,4,88
4/12/21,2,4,70
4/13/21,1,2,39
4/15/21,2,2,286
4/16/21,3,4,1
4/22/21,2,4,6
4/28/21,3,2,18
4/30/21,2,2,3
5/5/21,3,2,4
5/10/21,2,1,251
5/11/21,1,2,8
5/11/21,1,2,3
5/12/21,2,4,5
5/20/21,4,1,245
5/24/21,2,4,1
5/27/21,2,2,77
6/6/21,2,2,2
6/6/21,3,4,3
6/11/21,2,4,92
6/11/21,2,4,91
6/15/21,2,2,76
6/17/21,2,4,209
6/21/21,2,2,3
6/22/21,2,2,90
7/3/21,2,2,3
7/5/21,2,4,91
7/8/21,4,4,76
7/10/21,2,1,78
7/12/21,1,3,99
7/15/21,2,2,5
7/15/21,2,1,1
7/18/21,2,4,66
7/18/21,3,2,11
7/20/21,2,2,1
7/20/21,2,4,110
7/24/21,2,4,4
7/24/21,2,3,5
7/27/21,1,3,1
7/27/21,1,3,17
7/31/21,2,3,215
8/3/21,4,4,93
8/6/21,2,4,94
8/6/21,2,3,2
8/6/21,2,2,93
8/7/21,2,3,71
8/11/21,2,2,82
8/14/21,2,1,4
8/14/21,1,4,70
8/17/21,2,2,84
8/18/21,4,3,101
8/18/21,2,4,2
8/19/21,4,2,52
8/20/21,3,3,102
8/23/21,3,2,2
8/26/21,3,2,5
8/27/21,2,2,5
8/31/21,3,4,93
9/1/21,2,1,49
9/3/21,3,2,58
9/4/21,2,2,36
9/4/21,2,2,1
9/4/21,2,2,203
9/6/21,2,2,77
9/7/21,1,4,116
9/10/21,1,2,86
9/10/21,2,4,57
9/27/21,3,4,2
9/28/21,4,2,31
10/2/21,2,4,4
10/2/21,2,4,1
10/7/21,3,3,90
10/7/21,2,4,86
10/7/21,2,4,90
10/8/21,4,4,89
10/9/21,2,2,5
10/10/21,3,4,5
10/11/21,2,1,50
10/13/21,1,2,3
10/14/21,1,2,1
10/16/21,2,2,288
10/18/21,2,4,72
10/18/21,2,2,3
10/19/21,1,2,3
10/21/21,2,3,101
10/22/21,2,2,2
10/22/21,3,4,159
10/25/21,2,4,69
10/26/21,2,2,2
10/27/21,2,4,87
11/1/21,3,4,6
11/1/21,2,1,5
11/2/21,2,3,70
11/3/21,2,2,251
11/6/21,2,2,176
11/9/21,3,4,1
11/10/21,1,2,3
11/11/21,4,2,3
11/12/21,2,4,6
11/12/21,2,2,3
11/13/21,2,2,3
11/13/21,2,4,140
11/14/21,2,2,6
11/15/21,2,4,223
11/15/21,4,2,6
11/17/21,2,2,82
11/18/21,2,4,75
11/18/21,2,4,84
11/19/21,2,1,96
11/19/21,1,4,3
11/20/21,4,2,192
11/21/21,2,2,279
11/21/21,2,1,5
11/22/21,2,2,138
11/24/21,3,2,292
11/25/21,2,2,66
11/25/21,2,2,100
11/26/21,3,2,106
11/26/21,3,2,2
11/27/21,2,4,89
11/27/21,1,2,83
11/28/21,2,2,244
11/28/21,3,4,4
11/29/21,2,4,95
11/29/21,2,2,60
11/29/21,2,3,39
11/29/21,1,1,74
11/30/21,2,4,1
12/1/21,4,4,6
12/1/21,2,4,78
12/2/21,2,2,4
12/3/21,2,4,80
12/4/21,2,4,3
12/4/21,2,2,61
12/5/21,3,3,6
12/6/21,2,1,57
12/6/21,2,4,71
12/8/21,3,3,79
12/9/21,1,4,69
12/10/21,2,2,71
12/10/21,1,2,200
12/12/21,4,2,6
12/12/21,2,2,127
12/12/21,1,4,168
12/13/21,1,2,14
12/13/21,2,4,88
12/14/21,2,4,69
12/14/21,2,2,90
12/14/21,1,4,8
12/14/21,4,2,99
12/15/21,2,4,95
12/16/21,2,2,100
12/16/21,3,2,101
12/18/21,4,3,1
12/19/21,2,4,97
12/19/21,3,4,162
12/20/21,1,2,3
12/20/21,2,2,82
12/20/21,2,3,65
12/21/21,4,4,5
12/21/21,4,4,93
12/22/21,2,4,124
12/22/21,4,2,279
12/23/21,2,4,100
12/24/21,2,4,150
12/24/21,3,4,1
12/24/21,2,4,284
12/26/21,4,4,98
12/27/21,4,4,105
12/27/21,1,4,6
12/28/21,4,4,40
12/29/21,4,4,185
12/29/21,1,4,6
12/30/21,2,4,252
12/30/21,2,2,4
12/31/21,1,2,4
12/31/21,2,1,5
12/31/21,1,3,69
